"Código INE" "Municipio" "A3-MNR" "A3-MNR%" "AAI" "AAI%" "ADN" "ADN%" "ALBA" "ALBA%" "APB" "APB%" "AS" "AS%" "ASI" "ASI%" "ASP" "ASP%" "AYRA" "AYRA%" "CDC" "CDC%" "CN" "CN%" "MACA" "MACA%" "MAR" "MAR%" "MAS" "MAS%" "MBL" "MBL%" "MCSFA" "MCSFA%" "MIBOL" "MIBOL%" "MIR-NM" "MIR-NM%" "MNR" "MNR%" "MNR-FRI" "MNR-FRI%" "MOP" "MOP%" "PODEMOS" "PODEMOS%" "TRADEPA" "TRADEPA%" "UCS" "UCS%" "UN" "UN%" "Válidos" "Blancos" "Nulos" "Emitidos" "Abstención" "Inscritos Habilitados"
"020103" "Mecapaca" "0" "0,00" "0" "0,00" "27" "0,67" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "51" "1,26" "22" "0,54" "0" "0,00" "74" "1,83" "0" "0,00" "0" "0,00" "3254" "80,54" "8" "0,20" "0" "0,00" "0" "0,00" "18" "0,45" "34" "0,84" "0" "0,00" "0" "0,00" "107" "2,65" "17" "0,42" "73" "1,81" "355" "8,79" "4040" "486" "78" "4604" "567" "5171"
"020104" "Achocalla" "0" "0,00" "0" "0,00" "31" "0,74" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "148" "3,51" "4" "0,09" "0" "0,00" "67" "1,59" "0" "0,00" "0" "0,00" "3480" "82,64" "25" "0,59" "0" "0,00" "0" "0,00" "29" "0,69" "40" "0,95" "0" "0,00" "0" "0,00" "100" "2,37" "29" "0,69" "87" "2,07" "171" "4,06" "4211" "973" "131" "5315" "786" "6101"
"020105" "El Alto de La Paz" "0" "0,00" "0" "0,00" "966" "0,34" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "22674" "8,02" "1043" "0,37" "0" "0,00" "8538" "3,02" "0" "0,00" "0" "0,00" "201865" "71,41" "953" "0,34" "0" "0,00" "0" "0,00" "1214" "0,43" "2008" "0,71" "0" "0,00" "0" "0,00" "13385" "4,74" "1394" "0,49" "2838" "1,00" "25797" "9,13" "282675" "35334" "8722" "326731" "48673" "375404"
"020201" "Achacachi" "0" "0,00" "0" "0,00" "96" "0,64" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "1295" "8,70" "166" "1,11" "0" "0,00" "100" "0,67" "0" "0,00" "0" "0,00" "12061" "81,01" "20" "0,13" "0" "0,00" "0" "0,00" "86" "0,58" "130" "0,87" "0" "0,00" "0" "0,00" "208" "1,40" "158" "1,06" "172" "1,16" "396" "2,66" "14888" "4365" "592" "19845" "2382" "22227"
"020202" "Ancoraimes" "0" "0,00" "0" "0,00" "7" "0,16" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "95" "2,15" "11" "0,25" "0" "0,00" "11" "0,25" "0" "0,00" "0" "0,00" "4122" "93,17" "2" "0,05" "0" "0,00" "0" "0,00" "13" "0,29" "8" "0,18" "0" "0,00" "0" "0,00" "14" "0,32" "6" "0,14" "18" "0,41" "117" "2,64" "4424" "319" "54" "4797" "405" "5202"
"020301" "Coro Coro" "0" "0,00" "0" "0,00" "23" "0,91" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "83" "3,29" "13" "0,52" "0" "0,00" "27" "1,07" "0" "0,00" "0" "0,00" "2078" "82,33" "18" "0,71" "0" "0,00" "0" "0,00" "28" "1,11" "35" "1,39" "0" "0,00" "0" "0,00" "39" "1,55" "38" "1,51" "48" "1,90" "94" "3,72" "2524" "793" "72" "3389" "410" "3799"
"020302" "Caquiaviri" "0" "0,00" "0" "0,00" "25" "0,83" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "87" "2,88" "11" "0,36" "0" "0,00" "13" "0,43" "0" "0,00" "0" "0,00" "2672" "88,42" "10" "0,33" "0" "0,00" "0" "0,00" "45" "1,49" "27" "0,89" "0" "0,00" "0" "0,00" "19" "0,63" "22" "0,73" "47" "1,56" "44" "1,46" "3022" "616" "66" "3704" "355" "4059"
"020303" "Calacoto" "0" "0,00" "0" "0,00" "13" "0,53" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "66" "2,69" "7" "0,29" "0" "0,00" "12" "0,49" "0" "0,00" "0" "0,00" "2232" "90,95" "11" "0,45" "0" "0,00" "0" "0,00" "12" "0,49" "14" "0,57" "0" "0,00" "0" "0,00" "17" "0,69" "8" "0,33" "20" "0,81" "42" "1,71" "2454" "481" "36" "2971" "334" "3305"
"020304" "Comanche" "0" "0,00" "0" "0,00" "6" "0,62" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "33" "3,40" "6" "0,62" "0" "0,00" "34" "3,50" "0" "0,00" "0" "0,00" "800" "82,30" "4" "0,41" "0" "0,00" "0" "0,00" "20" "2,06" "13" "1,34" "0" "0,00" "0" "0,00" "12" "1,23" "6" "0,62" "17" "1,75" "21" "2,16" "972" "349" "37" "1358" "159" "1517"
"020305" "Charaña" "0" "0,00" "0" "0,00" "7" "0,91" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "16" "2,09" "4" "0,52" "0" "0,00" "7" "0,91" "0" "0,00" "0" "0,00" "652" "85,12" "4" "0,52" "0" "0,00" "0" "0,00" "5" "0,65" "7" "0,91" "0" "0,00" "0" "0,00" "22" "2,87" "5" "0,65" "13" "1,70" "24" "3,13" "766" "159" "21" "946" "138" "1084"
"020306" "Waldo Ballivián" "0" "0,00" "0" "0,00" "2" "0,37" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "11" "2,02" "3" "0,55" "0" "0,00" "4" "0,73" "0" "0,00" "0" "0,00" "497" "91,19" "0" "0,00" "0" "0,00" "0" "0,00" "1" "0,18" "9" "1,65" "0" "0,00" "0" "0,00" "4" "0,73" "1" "0,18" "8" "1,47" "5" "0,92" "545" "67" "12" "624" "69" "693"
"020307" "Nazacara de Pacajes" "0" "0,00" "0" "0,00" "3" "1,81" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "4" "2,41" "0" "0,00" "0" "0,00" "3" "1,81" "0" "0,00" "0" "0,00" "136" "81,93" "0" "0,00" "0" "0,00" "0" "0,00" "3" "1,81" "4" "2,41" "0" "0,00" "0" "0,00" "5" "3,01" "0" "0,00" "8" "4,82" "0" "0,00" "166" "61" "11" "238" "28" "266"
"020308" "Santiago de Callapa" "0" "0,00" "0" "0,00" "10" "0,58" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "30" "1,74" "4" "0,23" "0" "0,00" "13" "0,75" "0" "0,00" "0" "0,00" "1550" "89,70" "8" "0,46" "0" "0,00" "0" "0,00" "7" "0,41" "25" "1,45" "0" "0,00" "0" "0,00" "21" "1,22" "16" "0,93" "22" "1,27" "22" "1,27" "1728" "315" "41" "2084" "271" "2355"
"020401" "Puerto Acosta" "0" "0,00" "0" "0,00" "24" "0,38" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "141" "2,26" "41" "0,66" "0" "0,00" "56" "0,90" "0" "0,00" "0" "0,00" "5666" "90,63" "26" "0,42" "0" "0,00" "0" "0,00" "24" "0,38" "49" "0,78" "0" "0,00" "0" "0,00" "77" "1,23" "23" "0,37" "59" "0,94" "66" "1,06" "6252" "1523" "194" "7969" "1260" "9229"
"020402" "Mocomoco" "0" "0,00" "0" "0,00" "21" "0,71" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "64" "2,17" "18" "0,61" "0" "0,00" "22" "0,75" "0" "0,00" "0" "0,00" "2519" "85,51" "19" "0,64" "0" "0,00" "0" "0,00" "26" "0,88" "46" "1,56" "0" "0,00" "0" "0,00" "62" "2,10" "32" "1,09" "66" "2,24" "51" "1,73" "2946" "1294" "142" "4382" "950" "5332"
"020403" "Puerto Carabuco" "0" "0,00" "0" "0,00" "21" "0,86" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "78" "3,20" "20" "0,82" "0" "0,00" "44" "1,81" "0" "0,00" "0" "0,00" "1911" "78,48" "70" "2,87" "0" "0,00" "0" "0,00" "50" "2,05" "41" "1,68" "0" "0,00" "0" "0,00" "50" "2,05" "43" "1,77" "45" "1,85" "62" "2,55" "2435" "1442" "139" "4016" "885" "4901"
"020501" "Chuma" "0" "0,00" "0" "0,00" "14" "0,60" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "22" "0,94" "8" "0,34" "0" "0,00" "55" "2,34" "0" "0,00" "0" "0,00" "2044" "87,05" "8" "0,34" "0" "0,00" "0" "0,00" "9" "0,38" "14" "0,60" "0" "0,00" "0" "0,00" "30" "1,28" "82" "3,49" "30" "1,28" "32" "1,36" "2348" "573" "109" "3030" "617" "3647"
"020502" "Ayata" "0" "0,00" "0" "0,00" "4" "0,43" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "38" "4,08" "1" "0,11" "0" "0,00" "22" "2,36" "0" "0,00" "0" "0,00" "760" "81,63" "1" "0,11" "0" "0,00" "0" "0,00" "4" "0,43" "9" "0,97" "0" "0,00" "0" "0,00" "32" "3,44" "13" "1,40" "26" "2,79" "21" "2,26" "931" "467" "47" "1445" "750" "2195"
"020503" "Aucapata" "0" "0,00" "0" "0,00" "16" "1,81" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "15" "1,69" "5" "0,56" "0" "0,00" "10" "1,13" "0" "0,00" "0" "0,00" "752" "84,88" "2" "0,23" "0" "0,00" "0" "0,00" "3" "0,34" "18" "2,03" "0" "0,00" "0" "0,00" "20" "2,26" "10" "1,13" "18" "2,03" "17" "1,92" "886" "192" "31" "1109" "358" "1467"
"020601" "Sorata" "0" "0,00" "0" "0,00" "34" "0,85" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "50" "1,25" "11" "0,28" "0" "0,00" "72" "1,80" "0" "0,00" "0" "0,00" "3287" "82,20" "33" "0,83" "0" "0,00" "0" "0,00" "25" "0,63" "44" "1,10" "0" "0,00" "0" "0,00" "111" "2,78" "29" "0,73" "67" "1,68" "236" "5,90" "3999" "917" "168" "5084" "1200" "6284"
"020602" "Guanay" "0" "0,00" "0" "0,00" "23" "1,01" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "36" "1,59" "7" "0,31" "0" "0,00" "45" "1,99" "0" "0,00" "0" "0,00" "1388" "61,23" "19" "0,84" "0" "0,00" "0" "0,00" "14" "0,62" "114" "5,03" "0" "0,00" "0" "0,00" "409" "18,04" "7" "0,31" "23" "1,01" "182" "8,03" "2267" "493" "66" "2826" "734" "3560"
"020603" "Tacacoma" "0" "0,00" "0" "0,00" "50" "4,57" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "23" "2,10" "4" "0,37" "0" "0,00" "21" "1,92" "0" "0,00" "0" "0,00" "790" "72,28" "15" "1,37" "0" "0,00" "0" "0,00" "18" "1,65" "24" "2,20" "0" "0,00" "0" "0,00" "39" "3,57" "10" "0,91" "23" "2,10" "76" "6,95" "1093" "411" "50" "1554" "359" "1913"
"020604" "Quiabaya" "0" "0,00" "0" "0,00" "9" "2,22" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "5" "1,23" "2" "0,49" "0" "0,00" "10" "2,46" "0" "0,00" "0" "0,00" "333" "82,02" "2" "0,49" "0" "0,00" "0" "0,00" "6" "1,48" "7" "1,72" "0" "0,00" "0" "0,00" "10" "2,46" "5" "1,23" "7" "1,72" "10" "2,46" "406" "137" "25" "568" "129" "697"
